source_kind,bundle_model_code,component_model_code,context_release_price,context_delivery_price,default_qty,sheet_row
SINGLE,AC100CS6PBH1SY,PC6NUCK1NW,1012000,678000,1,53
SINGLE,AC100CS6PBH1SY,PC6EUXK1NW,279400,188000,1,54
SINGLE,AC100CS6PBH1SY,PC6NUXK1NW,279400,188000,1,55
SINGLE,AC100CS6PBH1SY,AR-EH05,25300,16000,1,56
SINGLE,AC100CS6PBH1SY,AWR-WG00N,137500,91000,1,57
SINGLE,AC100CS6PBH1SY,AWR-WE13N,82500,56000,1,58
SINGLE,AC100CS6PHH1SY,PC6NUNK1NW,189200,128000,1,62
SINGLE,AC100CS6PHH1SY,PC6NUDK1NW,189200,128000,1,63
SINGLE,AC100CS6PHH1SY,PC6NBNK1NW,272800,188000,1,64
SINGLE,AC100CS6PHH1SY,PC6NBDK1NW,272800,188000,1,65
SINGLE,AC100CS6PHH1SY,PC6EUCK1NW,1012000,678000,1,66
SINGLE,AC100CS6PHH1SY,PC6NUCK1NW,1012000,678000,1,67
SINGLE,AC100CS6PHH1SY,PC6EUXK1NW,279400,188000,1,68
SINGLE,AC100CS6PHH1SY,PC6NUXK1NW,279400,188000,1,69
SINGLE,AC100CS6PHH1SY,AR-EH05,25300,16000,1,70
SINGLE,AC100CS6PHH1SY,AWR-WG00N,137500,91000,1,71
SINGLE,AC100CS6PHH1SY,AWR-WE13N,82500,56000,1,72
SINGLE,AC110CS6PBH1SY,PC6NUNK1NW,189200,128000,1,76
SINGLE,AC110CS6PBH1SY,PC6NUDK1NW,189200,128000,1,77
SINGLE,AC110CS6PBH1SY,PC6NBNK1NW,272800,188000,1,78
SINGLE,AC110CS6PBH1SY,PC6NBDK1NW,272800,188000,1,79
SINGLE,AC110CS6PBH1SY,PC6EUCK1NW,1012000,678000,1,80
SINGLE,AC110CS6PBH1SY,PC6NUCK1NW,1012000,678000,1,81
SINGLE,AC110CS6PBH1SY,PC6EUXK1NW,279400,188000,1,82
SINGLE,AC110CS6PBH1SY,PC6NUXK1NW,279400,188000,1,83
SINGLE,AC110CS6PBH1SY,AR-EH05,25300,16000,1,84
SINGLE,AC110CS6PBH1SY,AWR-WG00N,137500,91000,1,85
SINGLE,AC110CS6PBH1SY,AWR-WE13N,82500,56000,1,86
SINGLE,AC110CS6PHH1SY,PC6NUNK1NW,189200,128000,1,90
SINGLE,AC110CS6PHH1SY,PC6NUDK1NW,189200,128000,1,91
SINGLE,AC110CS6PHH1SY,PC6NBNK1NW,272800,188000,1,92
SINGLE,AC110CS6PHH1SY,PC6NBDK1NW,272800,188000,1,93
SINGLE,AC110CS6PHH1SY,PC6EUCK1NW,1012000,678000,1,94
SINGLE,AC110CS6PHH1SY,PC6NUCK1NW,1012000,678000,1,95
SINGLE,AC110CS6PHH1SY,PC6EUXK1NW,279400,188000,1,96
SINGLE,AC110CS6PHH1SY,PC6NUXK1NW,279400,188000,1,97
SINGLE,AC110CS6PHH1SY,AR-EH05,25300,16000,1,98
SINGLE,AC110CS6PHH1SY,AWR-WG00N,137500,91000,1,99
SINGLE,AC110CS6PHH1SY,AWR-WE13N,82500,56000,1,100
SINGLE,AC130CS6PBH1SY,PC6NUNK1NW,189200,128000,1,104
SINGLE,AC130CS6PBH1SY,PC6NUDK1NW,189200,128000,1,105
SINGLE,AC130CS6PBH1SY,PC6NBNK1NW,272800,188000,1,106
SINGLE,AC130CS6PBH1SY,PC6NBDK1NW,272800,188000,1,107
SINGLE,AC130CS6PBH1SY,PC6EUCK1NW,1012000,678000,1,108
SINGLE,AC130CS6PBH1SY,PC6NUCK1NW,1012000,678000,1,109
SINGLE,AC130CS6PBH1SY,PC6EUXK1NW,279400,188000,1,110
SINGLE,AC130CS6PBH1SY,PC6NUXK1NW,279400,188000,1,111
SINGLE,AC130CS6PBH1SY,AR-EH05,25300,16000,1,112
SINGLE,AC130CS6PBH1SY,AWR-WG00N,137500,91000,1,113
SINGLE,AC130CS6PBH1SY,AWR-WE13N,82500,56000,1,114
SINGLE,AC130CS6PHH1SY,PC6NUNK1NW,189200,128000,1,118
SINGLE,AC130CS6PHH1SY,PC6NUDK1NW,189200,128000,1,119
SINGLE,AC130CS6PHH1SY,PC6NBNK1NW,272800,188000,1,120
SINGLE,AC130CS6PHH1SY,PC6NBDK1NW,272800,188000,1,121
SINGLE,AC130CS6PHH1SY,PC6EUCK1NW,1012000,678000,1,122
SINGLE,AC130CS6PHH1SY,PC6NUCK1NW,1012000,678000,1,123
SINGLE,AC130CS6PHH1SY,PC6EUXK1NW,279400,188000,1,124
SINGLE,AC130CS6PHH1SY,PC6NUXK1NW,279400,188000,1,125
SINGLE,AC130CS6PHH1SY,AR-EH05,25300,16000,1,126
SINGLE,AC130CS6PHH1SY,AWR-WG00N,137500,91000,1,127
SINGLE,AC130CS6PHH1SY,AWR-WE13N,82500,56000,1,128
SINGLE,AC145CS6PHH1SY,PC6NUNK1NW,189200,128000,1,132
SINGLE,AC145CS6PHH1SY,PC6NUDK1NW,189200,128000,1,133
SINGLE,AC145CS6PHH1SY,PC6NBNK1NW,272800,188000,1,134
SINGLE,AC145CS6PHH1SY,PC6NBDK1NW,272800,188000,1,135
SINGLE,AC145CS6PHH1SY,PC6EUCK1NW,1012000,678000,1,136
SINGLE,AC145CS6PHH1SY,PC6NUCK1NW,1012000,678000,1,137
SINGLE,AC145CS6PHH1SY,PC6EUXK1NW,279400,188000,1,138
SINGLE,AC145CS6PHH1SY,PC6NUXK1NW,279400,188000,1,139
SINGLE,AC145CS6PHH1SY,AR-EH05,25300,16000,1,140
SINGLE,AC145CS6PHH1SY,AWR-WG00N,137500,91000,1,141
SINGLE,AC145CS6PHH1SY,AWR-WE13N,82500,56000,1,142
SINGLE,AC060CS4PBH2SY,PC4NUFK1NW,189200,128000,1,146
SINGLE,AC060CS4PBH2SY,PC4NBFK1NW,272800,188000,1,147
SINGLE,AC060CS4PBH2SY,PC4NUXK1NW,279400,188000,1,148
SINGLE,AC060CS4PBH2SY,PC4NUCK4NW,1111000,678000,1,149
SINGLE,AC060CS4PBH2SY,AR-EH05,25300,16000,1,150
SINGLE,AC060CS4PBH2SY,AWR-WG00N,137500,91000,1,151
SINGLE,AC060CS4PBH2SY,AWR-WE13N,82500,56000,1,152
SINGLE,AC072CS4PBH2SY,PC4NUFK1NW,189200,128000,1,156
SINGLE,AC072CS4PBH2SY,PC4NBFK1NW,272800,188000,1,157
SINGLE,AC072CS4PBH2SY,PC4NUXK1NW,279400,188000,1,158
SINGLE,AC072CS4PBH2SY,PC4NUCK4NW,1111000,678000,1,159
SINGLE,AC072CS4PBH2SY,AR-EH05,25300,16000,1,160
SINGLE,AC072CS4PBH2SY,AWR-WG00N,137500,91000,1,161
SINGLE,AC072CS4PBH2SY,AWR-WE13N,82500,56000,1,162
SINGLE,AC090CS4PBH2SY,PC4NUFK1NW,189200,128000,1,166
SINGLE,AC090CS4PBH2SY,PC4NBFK1NW,272800,188000,1,167
SINGLE,AC090CS4PBH2SY,PC4NUXK1NW,279400,188000,1,168
SINGLE,AC090CS4PBH2SY,PC4NUCK4NW,1111000,678000,1,169
SINGLE,AC090CS4PBH2SY,AR-EH05,25300,16000,1,170
SINGLE,AC090CS4PBH2SY,AWR-WG00N,137500,91000,1,171
SINGLE,AC090CS4PBH2SY,AWR-WE13N,82500,56000,1,172
SINGLE,AC100CS4PBH2SY,PC4NUFK1NW,189200,128000,1,176
SINGLE,AC100CS4PBH2SY,PC4NBFK1NW,272800,188000,1,177
SINGLE,AC100CS4PBH2SY,PC4NUXK1NW,279400,188000,1,178
SINGLE,AC100CS4PBH2SY,PC4NUCK4NW,1111000,678000,1,179
SINGLE,AC100CS4PBH2SY,AR-EH05,25300,16000,1,180
SINGLE,AC100CS4PBH2SY,AWR-WG00N,137500,91000,1,181
SINGLE,AC100CS4PBH2SY,AWR-WE13N,82500,56000,1,182
SINGLE,AC100CS4PHH2SY,PC4NUFK1NW,189200,128000,1,186
SINGLE,AC100CS4PHH2SY,PC4NBFK1NW,272800,188000,1,187
SINGLE,AC100CS4PHH2SY,PC4NUXK1NW,279400,188000,1,188
SINGLE,AC100CS4PHH2SY,PC4NUCK4NW,1111000,678000,1,189
SINGLE,AC100CS4PHH2SY,AR-EH05,25300,16000,1,190
SINGLE,AC100CS4PHH2SY,AWR-WG00N,137500,91000,1,191
SINGLE,AC100CS4PHH2SY,AWR-WE13N,82500,56000,1,192
SINGLE,AC110CS4PBH2SY,PC4NUFK1NW,189200,128000,1,196
SINGLE,AC110CS4PBH2SY,PC4NBFK1NW,272800,188000,1,197
SINGLE,AC110CS4PBH2SY,PC4NUXK1NW,279400,188000,1,198
SINGLE,AC110CS4PBH2SY,PC4NUCK4NW,1111000,678000,1,199
SINGLE,AC110CS4PBH2SY,AR-EH05,25300,16000,1,200
SINGLE,AC110CS4PBH2SY,AWR-WG00N,137500,91000,1,201
SINGLE,AC110CS4PBH2SY,AWR-WE13N,82500,56000,1,202
SINGLE,AC110CS4PHH2SY,PC4NUFK1NW,189200,128000,1,206
SINGLE,AC110CS4PHH2SY,PC4NBFK1NW,272800,188000,1,207
SINGLE,AC110CS4PHH2SY,PC4NUXK1NW,279400,188000,1,208
SINGLE,AC110CS4PHH2SY,PC4NUCK4NW,1111000,678000,1,209
SINGLE,AC110CS4PHH2SY,AR-EH05,25300,16000,1,210
SINGLE,AC110CS4PHH2SY,AWR-WG00N,137500,91000,1,211
SINGLE,AC110CS4PHH2SY,AWR-WE13N,82500,56000,1,212
SINGLE,AC130CS4PBH2SY,PC4NUFK1NW,189200,128000,1,216
SINGLE,AC130CS4PBH2SY,PC4NBFK1NW,272800,188000,1,217
SINGLE,AC130CS4PBH2SY,PC4NUXK1NW,279400,188000,1,218
SINGLE,AC130CS4PBH2SY,PC4NUCK4NW,1111000,678000,1,219
SINGLE,AC130CS4PBH2SY,AR-EH05,25300,16000,1,220
SINGLE,AC130CS4PBH2SY,AWR-WG00N,137500,91000,1,221
SINGLE,AC130CS4PBH2SY,AWR-WE13N,82500,56000,1,222
SINGLE,AC130CS4PHH2SY,PC4NUFK1NW,189200,128000,1,226
SINGLE,AC130CS4PHH2SY,PC4NBFK1NW,272800,188000,1,227
SINGLE,AC130CS4PHH2SY,PC4NUXK1NW,279400,188000,1,228
SINGLE,AC130CS4PHH2SY,PC4NUCK4NW,1111000,678000,1,229
SINGLE,AC130CS4PHH2SY,AR-EH05,25300,16000,1,230
SINGLE,AC130CS4PHH2SY,AWR-WG00N,137500,91000,1,231
SINGLE,AC130CS4PHH2SY,AWR-WE13N,82500,56000,1,232
SINGLE,AC145CS4PHH2SY,PC4NUFK1NW,189200,128000,1,236
SINGLE,AC145CS4PHH2SY,PC4NBFK1NW,272800,188000,1,237
SINGLE,AC145CS4PHH2SY,PC4NUXK1NW,279400,188000,1,238
SINGLE,AC145CS4PHH2SY,PC4NUCK4NW,1111000,678000,1,239
SINGLE,AC145CS4PHH2SY,AR-EH05,25300,16000,1,240
SINGLE,AC145CS4PHH2SY,AWR-WG00N,137500,91000,1,241
SINGLE,AC145CS4PHH2SY,AWR-WE13N,82500,56000,1,242
SINGLE,AC060BS4PBH7SY,PC4NUFK1NW,189200,128000,1,246
SINGLE,AC060BS4PBH7SY,PC4NBFK1NW,272800,188000,1,247
SINGLE,AC060BS4PBH7SY,PC4NUXK1NW,279400,188000,1,248
SINGLE,AC060BS4PBH7SY,PC4NUCK4NW,1111000,678000,1,249
SINGLE,AC060BS4PBH7SY,AR-EH05,25300,16000,1,250
SINGLE,AC060BS4PBH7SY,AWR-WG00N,137500,91000,1,251
SINGLE,AC060BS4PBH7SY,AWR-WE13N,82500,56000,1,252
SINGLE,AC072BS4PBH7SY,PC4NUFK1NW,189200,128000,1,256
SINGLE,AC072BS4PBH7SY,PC4NBFK1NW,272800,188000,1,257
SINGLE,AC072BS4PBH7SY,PC4NUXK1NW,279400,188000,1,258
SINGLE,AC072BS4PBH7SY,PC4NUCK4NW,1111000,678000,1,259
SINGLE,AC072BS4PBH7SY,AR-EH05,25300,16000,1,260
SINGLE,AC072BS4PBH7SY,AWR-WG00N,137500,91000,1,261
SINGLE,AC072BS4PBH7SY,AWR-WE13N,82500,56000,1,262
SINGLE,AC090BS4PBH7SY,PC4NUFK1NW,189200,128000,1,266
SINGLE,AC090BS4PBH7SY,PC4NBFK1NW,272800,188000,1,267
SINGLE,AC090BS4PBH7SY,PC4NUXK1NW,279400,188000,1,268
SINGLE,AC090BS4PBH7SY,PC4NUCK4NW,1111000,678000,1,269
SINGLE,AC090BS4PBH7SY,AR-EH05,25300,16000,1,270
SINGLE,AC090BS4PBH7SY,AWR-WG00N,137500,91000,1,271
SINGLE,AC090BS4PBH7SY,AWR-WE13N,82500,56000,1,272
SINGLE,AC100BS4PBH7SY,PC4NUFK1NW,189200,128000,1,276
SINGLE,AC100BS4PBH7SY,PC4NBFK1NW,272800,188000,1,277
SINGLE,AC100BS4PBH7SY,PC4NUXK1NW,279400,188000,1,278
SINGLE,AC100BS4PBH7SY,PC4NUCK4NW,1111000,678000,1,279
SINGLE,AC100BS4PBH7SY,AR-EH05,25300,16000,1,280
SINGLE,AC100BS4PBH7SY,AWR-WG00N,137500,91000,1,281
SINGLE,AC100BS4PBH7SY,AWR-WE13N,82500,56000,1,282
SINGLE,AC100BS4PHH7SY,PC4NUFK1NW,189200,128000,1,286
SINGLE,AC100BS4PHH7SY,PC4NBFK1NW,272800,188000,1,287
SINGLE,AC100BS4PHH7SY,PC4NUXK1NW,279400,188000,1,288
SINGLE,AC100BS4PHH7SY,PC4NUCK4NW,1111000,678000,1,289
SINGLE,AC100BS4PHH7SY,AR-EH05,25300,16000,1,290
SINGLE,AC100BS4PHH7SY,AWR-WG00N,137500,91000,1,291
SINGLE,AC100BS4PHH7SY,AWR-WE13N,82500,56000,1,292
SINGLE,AC110BS4PBH7SY,PC4NUFK1NW,189200,128000,1,296
SINGLE,AC110BS4PBH7SY,PC4NBFK1NW,272800,188000,1,297
SINGLE,AC110BS4PBH7SY,PC4NUXK1NW,279400,188000,1,298
SINGLE,AC110BS4PBH7SY,PC4NUCK4NW,1111000,678000,1,299
SINGLE,AC110BS4PBH7SY,AR-EH05,25300,16000,1,300
SINGLE,AC110BS4PBH7SY,AWR-WG00N,137500,91000,1,301
SINGLE,AC110BS4PBH7SY,AWR-WE13N,82500,56000,1,302
SINGLE,AC110BS4PHH7SY,PC4NUFK1NW,189200,128000,1,306
SINGLE,AC110BS4PHH7SY,PC4NBFK1NW,272800,188000,1,307
SINGLE,AC110BS4PHH7SY,PC4NUXK1NW,279400,188000,1,308
SINGLE,AC110BS4PHH7SY,PC4NUCK4NW,1111000,678000,1,309
SINGLE,AC110BS4PHH7SY,AR-EH05,25300,16000,1,310
SINGLE,AC110BS4PHH7SY,AWR-WG00N,137500,91000,1,311
SINGLE,AC110BS4PHH7SY,AWR-WE13N,82500,56000,1,312
SINGLE,AC130BS4PBH7SY,PC4NUFK1NW,189200,128000,1,316
SINGLE,AC130BS4PBH7SY,PC4NBFK1NW,272800,188000,1,317
SINGLE,AC130BS4PBH7SY,PC4NUXK1NW,279400,188000,1,318
SINGLE,AC130BS4PBH7SY,PC4NUCK4NW,1111000,678000,1,319
SINGLE,AC130BS4PBH7SY,AR-EH05,25300,16000,1,320
SINGLE,AC130BS4PBH7SY,AWR-WG00N,137500,91000,1,321
SINGLE,AC130BS4PBH7SY,AWR-WE13N,82500,56000,1,322
SINGLE,AC130BS4PHH7SY,PC4NUFK1NW,189200,128000,1,326
SINGLE,AC130BS4PHH7SY,PC4NBFK1NW,272800,188000,1,327
SINGLE,AC130BS4PHH7SY,PC4NUXK1NW,279400,188000,1,328
SINGLE,AC130BS4PHH7SY,PC4NUCK4NW,1111000,678000,1,329
SINGLE,AC130BS4PHH7SY,AR-EH05,25300,16000,1,330
SINGLE,AC130BS4PHH7SY,AWR-WG00N,137500,91000,1,331
SINGLE,AC130BS4PHH7SY,AWR-WE13N,82500,56000,1,332
SINGLE,AC145BS4PHH7SY,PC4NUFK1NW,189200,128000,1,336
SINGLE,AC145BS4PHH7SY,PC4NBFK1NW,272800,188000,1,337
SINGLE,AC145BS4PHH7SY,PC4NUXK1NW,279400,188000,1,338
SINGLE,AC145BS4PHH7SY,PC4NUCK4NW,1111000,678000,1,339
SINGLE,AC145BS4PHH7SY,AR-EH05,25300,16000,1,340
SINGLE,AC145BS4PHH7SY,AWR-WG00N,137500,91000,1,341
SINGLE,AC145BS4PHH7SY,AWR-WE13N,82500,56000,1,342
SINGLE,AC160CS4DHH1SY,PC4NUFK1NW,189200,128000,1,346
SINGLE,AC160CS4DHH1SY,PC4NBFK1NW,272800,188000,1,347
SINGLE,AC160CS4DHH1SY,PC4NUXK1NW,279400,188000,1,348
SINGLE,AC160CS4DHH1SY,PC4NUCK4NW,1111000,678000,1,349
SINGLE,AC160CS4DHH1SY,AR-EH05,25300,16000,1,350
SINGLE,AC160CS4DHH1SY,AWR-WG00N,137500,91000,1,351
SINGLE,AC160CS4DHH1SY,AWR-WE13N,82500,56000,1,352
SINGLE,AC060CS4FBH2SY,PC4NUFK1NW,189200,128000,1,356
SINGLE,AC060CS4FBH2SY,PC4NBFK1NW,272800,188000,1,357
SINGLE,AC060CS4FBH2SY,PC4NUXK1NW,279400,188000,1,358
SINGLE,AC060CS4FBH2SY,PC4NUCK4NW,1111000,678000,1,359
SINGLE,AC060CS4FBH2SY,AR-EH05,25300,16000,1,360
SINGLE,AC060CS4FBH2SY,AWR-WG00N,137500,91000,1,361
SINGLE,AC060CS4FBH2SY,AWR-WE13N,82500,56000,1,362
SINGLE,AC072CS4FBH2SY,PC4NUFK1NW,189200,128000,1,366
SINGLE,AC072CS4FBH2SY,PC4NBFK1NW,272800,188000,1,367
SINGLE,AC072CS4FBH2SY,PC4NUXK1NW,279400,188000,1,368
SINGLE,AC072CS4FBH2SY,PC4NUCK4NW,1111000,678000,1,369
SINGLE,AC072CS4FBH2SY,AR-EH05,25300,16000,1,370
SINGLE,AC072CS4FBH2SY,AWR-WG00N,137500,91000,1,371
SINGLE,AC072CS4FBH2SY,AWR-WE13N,82500,56000,1,372
SINGLE,AC090CS4FBH2SY,PC4NUFK1NW,189200,128000,1,376
SINGLE,AC090CS4FBH2SY,PC4NBFK1NW,272800,188000,1,377
SINGLE,AC090CS4FBH2SY,PC4NUXK1NW,279400,188000,1,378
SINGLE,AC090CS4FBH2SY,PC4NUCK4NW,1111000,678000,1,379
SINGLE,AC090CS4FBH2SY,AR-EH05,25300,16000,1,380
SINGLE,AC090CS4FBH2SY,AWR-WG00N,137500,91000,1,381
SINGLE,AC090CS4FBH2SY,AWR-WE13N,82500,56000,1,382
SINGLE,AC100CS4FBH2SY,PC4NUFK1NW,189200,128000,1,386
SINGLE,AC100CS4FBH2SY,PC4NBFK1NW,272800,188000,1,387
SINGLE,AC100CS4FBH2SY,PC4NUXK1NW,279400,188000,1,388
SINGLE,AC100CS4FBH2SY,PC4NUCK4NW,1111000,678000,1,389
SINGLE,AC100CS4FBH2SY,AR-EH05,25300,16000,1,390
SINGLE,AC100CS4FBH2SY,AWR-WG00N,137500,91000,1,391
SINGLE,AC100CS4FBH2SY,AWR-WE13N,82500,56000,1,392
SINGLE,AC100CS4FHH2SY,PC4NUFK1NW,189200,128000,1,396
SINGLE,AC100CS4FHH2SY,PC4NBFK1NW,272800,188000,1,397
SINGLE,AC100CS4FHH2SY,PC4NUXK1NW,279400,188000,1,398
SINGLE,AC100CS4FHH2SY,PC4NUCK4NW,1111000,678000,1,399
SINGLE,AC100CS4FHH2SY,AR-EH05,25300,16000,1,400
SINGLE,AC100CS4FHH2SY,AWR-WG00N,137500,91000,1,401
SINGLE,AC100CS4FHH2SY,AWR-WE13N,82500,56000,1,402
SINGLE,AC110CS4FBH2SY,PC4NUFK1NW,189200,128000,1,406
SINGLE,AC110CS4FBH2SY,PC4NBFK1NW,272800,188000,1,407
SINGLE,AC110CS4FBH2SY,PC4NUXK1NW,279400,188000,1,408
SINGLE,AC110CS4FBH2SY,PC4NUCK4NW,1111000,678000,1,409
SINGLE,AC110CS4FBH2SY,AR-EH05,25300,16000,1,410
SINGLE,AC110CS4FBH2SY,AWR-WG00N,137500,91000,1,411
SINGLE,AC110CS4FBH2SY,AWR-WE13N,82500,56000,1,412
SINGLE,AC110CS4FHH2SY,PC4NUFK1NW,189200,128000,1,416
SINGLE,AC110CS4FHH2SY,PC4NBFK1NW,272800,188000,1,417
SINGLE,AC110CS4FHH2SY,PC4NUXK1NW,279400,188000,1,418
SINGLE,AC110CS4FHH2SY,PC4NUCK4NW,1111000,678000,1,419
SINGLE,AC110CS4FHH2SY,AR-EH05,25300,16000,1,420
SINGLE,AC110CS4FHH2SY,AWR-WG00N,137500,91000,1,421
SINGLE,AC110CS4FHH2SY,AWR-WE13N,82500,56000,1,422
SINGLE,AC130CS4FBH2SY,PC4NUFK1NW,189200,128000,1,426
SINGLE,AC130CS4FBH2SY,PC4NBFK1NW,272800,188000,1,427
SINGLE,AC130CS4FBH2SY,PC4NUXK1NW,279400,188000,1,428
SINGLE,AC130CS4FBH2SY,PC4NUCK4NW,1111000,678000,1,429
SINGLE,AC130CS4FBH2SY,AR-EH05,25300,16000,1,430
SINGLE,AC130CS4FBH2SY,AWR-WG00N,137500,91000,1,431
SINGLE,AC130CS4FBH2SY,AWR-WE13N,82500,56000,1,432
SINGLE,AC130CS4FHH2SY,PC4NUFK1NW,189200,128000,1,436
SINGLE,AC130CS4FHH2SY,PC4NBFK1NW,272800,188000,1,437
SINGLE,AC130CS4FHH2SY,PC4NUXK1NW,279400,188000,1,438
SINGLE,AC130CS4FHH2SY,PC4NUCK4NW,1111000,678000,1,439
SINGLE,AC130CS4FHH2SY,AR-EH05,25300,16000,1,440
SINGLE,AC130CS4FHH2SY,AWR-WG00N,137500,91000,1,441
SINGLE,AC130CS4FHH2SY,AWR-WE13N,82500,56000,1,442
SINGLE,AC145CS4FHH2SY,PC4NUFK1NW,189200,128000,1,446
SINGLE,AC145CS4FHH2SY,PC4NBFK1NW,272800,188000,1,447
SINGLE,AC145CS4FHH2SY,PC4NUXK1NW,279400,188000,1,448
SINGLE,AC145CS4FHH2SY,PC4NUCK4NW,1111000,678000,1,449
SINGLE,AC145CS4FHH2SY,AR-EH05,25300,16000,1,450
SINGLE,AC145CS4FHH2SY,AWR-WG00N,137500,91000,1,451
SINGLE,AC145CS4FHH2SY,AWR-WE13N,82500,56000,1,452
SINGLE,AC060CS4DBC1SY,PC4NUFK1NW,189200,128000,1,456
SINGLE,AC060CS4DBC1SY,PC4NBFK1NW,272800,188000,1,457
SINGLE,AC060CS4DBC1SY,PC4NUXK1NW,279400,188000,1,458
SINGLE,AC060CS4DBC1SY,PC4NUCK4NW,1111000,678000,1,459
SINGLE,AC060CS4DBC1SY,AR-EC05,25300,16000,1,460
SINGLE,AC060CS4DBC1SY,AWR-WG00N,137500,91000,1,461
SINGLE,AC060CS4DBC1SY,AWR-WE13N,82500,56000,1,462
SINGLE,AC072CS4DBC1SY,PC4NUFK1NW,189200,128000,1,466
SINGLE,AC072CS4DBC1SY,PC4NBFK1NW,272800,188000,1,467
SINGLE,AC072CS4DBC1SY,PC4NUXK1NW,279400,188000,1,468
SINGLE,AC072CS4DBC1SY,PC4NUCK4NW,1111000,678000,1,469
SINGLE,AC072CS4DBC1SY,AR-EC05,25300,16000,1,470
SINGLE,AC072CS4DBC1SY,AWR-WG00N,137500,91000,1,471
SINGLE,AC072CS4DBC1SY,AWR-WE13N,82500,56000,1,472
SINGLE,AC083CS4DBC1SY,PC4NUFK1NW,189200,128000,1,476
SINGLE,AC083CS4DBC1SY,PC4NBFK1NW,272800,188000,1,477
SINGLE,AC083CS4DBC1SY,PC4NUXK1NW,279400,188000,1,478
SINGLE,AC083CS4DBC1SY,PC4NUCK4NW,1111000,678000,1,479
SINGLE,AC083CS4DBC1SY,AR-EC05,25300,16000,1,480
SINGLE,AC083CS4DBC1SY,AWR-WG00N,137500,91000,1,481
SINGLE,AC083CS4DBC1SY,AWR-WE13N,82500,56000,1,482
SINGLE,AC100CS4DBC1SY,PC4NUFK1NW,189200,128000,1,486
SINGLE,AC100CS4DBC1SY,PC4NBFK1NW,272800,188000,1,487
SINGLE,AC100CS4DBC1SY,PC4NUXK1NW,279400,188000,1,488
SINGLE,AC100CS4DBC1SY,PC4NUCK4NW,1111000,678000,1,489
SINGLE,AC100CS4DBC1SY,AR-EC05,25300,16000,1,490
SINGLE,AC100CS4DBC1SY,AWR-WG00N,137500,91000,1,491
SINGLE,AC100CS4DBC1SY,AWR-WE13N,82500,56000,1,492
