세트,구성품,구성품명,종류,전환 전(현행),전환 후(데이터),레거시 계산값,시트 값,차이(후-전),분류,원인 표지
AC072CS4DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC072CS4DBC1SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC072CS4FBH2SY,AC072CN4FBH1,무풍 4way 냉난방 1등급 실내기,INDOOR,780810,781000,770000,770000,190,㉢,반올림단위;예약행있음
AC072CS4FBH2SY,AC072CXAFBH1,무풍 4way 냉난방 1등급 실외기,OUTDOOR,1171215,1171025,1156000,1156000,-190,㉢,반올림단위;예약행있음
AC072CS4FBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC072CS4FBH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC072CS4PBH2SY,AC072CN4PBH1,무풍 4way 냉난방 프레스티지 실내기,INDOOR,620810,621000,610000,610000,190,㉢,반올림단위;예약행있음
AC072CS4PBH2SY,AC072CXAPBH1,360 CST UV 실외기,OUTDOOR,931215,931025,916000,916000,-190,㉢,반올림단위;예약행있음
AC072CS4PBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC072CS4PBH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC072CS6PBH1SY,AC072CN6PBH1,360 CST UV 실내기,INDOOR,688810,689000,678000,678000,190,㉢,반올림단위;예약행있음
AC072CS6PBH1SY,AC072CXAPBH1,360 CST UV 실외기,OUTDOOR,1033215,1033025,1018000,1018000,-190,㉢,반올림단위;예약행있음
AC072CS6PBH1SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC072CS6PBH1SY,PC6NUNK1NW,판넬 (360CST / 원형 / WIFI),PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC083CS4DBC1SY,AC083CN4DBC1,무풍 4way 냉방전용 실내기,INDOOR,527976,528000,518000,518000,24,㉢,반올림단위;예약행있음
AC083CS4DBC1SY,AC083CXADBC1,무풍 4way 냉방전용 실외기,OUTDOOR,791964,791940,778000,778000,-24,㉢,반올림단위;예약행있음
AC083CS4DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC083CS4DBC1SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC090BS4PBH7SY,AC090BN4PBH1,무풍 4way 냉난방 프리미엄 실내기,INDOOR,572810,573000,562000,562000,190,㉢,반올림단위;예약행있음
AC090BS4PBH7SY,AC090BXAPBH3,무풍 4way 냉난방 프리미엄 실외기,OUTDOOR,859215,859025,844000,844000,-190,㉢,반올림단위;예약행있음
AC090BS4PBH7SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC090BS4PBH7SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC090BSCPBH2SY,AC090BNCPBH1,싱글 실링 실내기,INDOOR,590434,590000,590000,590000,-434,㉠,반올림단위;예약행있음
AC090BSCPBH2SY,AC090BXAPBH3,무풍 4way 냉난방 프리미엄 실외기,OUTDOOR,885651,886085,884000,884000,434,㉢,반올림단위;예약행있음
AC090BSCPBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC090CS4FBH2SY,AC090CN4FBH1,무풍 4way 냉난방 1등급 실내기,INDOOR,904810,905000,894000,894000,190,㉢,반올림단위;예약행있음
AC090CS4FBH2SY,AC090CXAFBH1,무풍 4way 냉난방 1등급 실외기,OUTDOOR,1357215,1357025,1342000,1342000,-190,㉢,반올림단위;예약행있음
AC090CS4FBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC090CS4FBH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC090CS4PBH2SY,AC090CN4PBH1,무풍 4way 냉난방 프레스티지 실내기,INDOOR,692810,693000,682000,682000,190,㉢,반올림단위;예약행있음
AC090CS4PBH2SY,AC090CXAPBH1,360 CST UV 실외기,OUTDOOR,1039215,1039025,1024000,1024000,-190,㉢,반올림단위;예약행있음
AC090CS4PBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC090CS4PBH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC090CS6PBH1SY,AC090CN6PBH1,360 CST UV 실내기,INDOOR,764810,765000,754000,754000,190,㉢,반올림단위;예약행있음
AC090CS6PBH1SY,AC090CXAPBH1,360 CST UV 실외기,OUTDOOR,1147215,1147025,1132000,1132000,-190,㉢,반올림단위;예약행있음
AC090CS6PBH1SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC090CS6PBH1SY,PC6NUNK1NW,판넬 (360CST / 원형 / WIFI),PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC100BS4PBH7SY,AC100BN4PBH1,무풍 4way 냉난방 프리미엄 실내기,INDOOR,612810,613000,602000,602000,190,㉢,반올림단위;예약행있음
AC100BS4PBH7SY,AC100BXAPBH3,무풍 4way 냉난방 프리미엄 실외기,OUTDOOR,919215,919025,904000,904000,-190,㉢,반올림단위;예약행있음
AC100BS4PBH7SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC100BS4PBH7SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC100BS4PHH7SY,AC100BN4PBH1,무풍 4way 냉난방 프리미엄 실내기,INDOOR,612810,613000,602000,602000,190,㉢,반올림단위;예약행있음
AC100BS4PHH7SY,AC100BXAPHH3,무풍 4way 냉난방 프리미엄 실외기,OUTDOOR,919215,919025,904000,904000,-190,㉢,반올림단위;예약행있음
AC100BS4PHH7SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC100BS4PHH7SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC100CS4DBC1SY,AC100CN4DBC1,무풍 4way 냉방전용 실내기,INDOOR,563976,564000,554000,554000,24,㉢,반올림단위;예약행있음
AC100CS4DBC1SY,AC100CXADBC1,무풍 4way 냉방전용 실외기,OUTDOOR,845964,845940,832000,832000,-24,㉢,반올림단위;예약행있음
AC100CS4DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC100CS4DBC1SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC100CS4FBH2SY,AC100CN4FBH1,무풍 4way 냉난방 1등급 실내기,INDOOR,980810,981000,970000,970000,190,㉢,반올림단위;예약행있음
AC100CS4FBH2SY,AC100CXAFBH1,무풍 4way 냉난방 1등급 실외기,OUTDOOR,1471215,1471025,1456000,1456000,-190,㉢,반올림단위;예약행있음
AC100CS4FBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC100CS4FBH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC100CS4FHH2SY,AC100CN4FBH1,무풍 4way 냉난방 1등급 실내기,INDOOR,980810,981000,970000,970000,190,㉢,반올림단위;예약행있음
AC100CS4FHH2SY,AC100CXAFHH1,무풍 4way 냉난방 1등급 실외기,OUTDOOR,1471215,1471025,1456000,1456000,-190,㉢,반올림단위;예약행있음
AC100CS4FHH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC100CS4FHH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC100CS4PBH2SY,AC100CN4PBH1,무풍 4way 냉난방 프레스티지 실내기,INDOOR,756810,757000,746000,746000,190,㉢,반올림단위;예약행있음
AC100CS4PBH2SY,AC100CXAPBH1,360 CST UV 실외기,OUTDOOR,1135215,1135025,1120000,1120000,-190,㉢,반올림단위;예약행있음
AC100CS4PBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC100CS4PBH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC100CS4PHH2SY,AC100CN4PHH1,무풍 4way 냉난방 프레스티지 실내기,INDOOR,756810,757000,746000,746000,190,㉢,반올림단위;예약행있음
AC100CS4PHH2SY,AC100CXAPHH1,360 CST UV 실외기,OUTDOOR,1135215,1135025,1120000,1120000,-190,㉢,반올림단위;예약행있음
AC100CS4PHH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC100CS4PHH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC100CS6PBH1SY,AC100CN6PBH1,360 CST UV 실내기,INDOOR,828810,829000,818000,818000,190,㉢,반올림단위;예약행있음
AC100CS6PBH1SY,AC100CXAPBH1,360 CST UV 실외기,OUTDOOR,1243215,1243025,1228000,1228000,-190,㉢,반올림단위;예약행있음
AC100CS6PBH1SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC100CS6PBH1SY,PC6NUNK1NW,판넬 (360CST / 원형 / WIFI),PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC100CS6PHH1SY,AC100CN6PBH1,360 CST UV 실내기,INDOOR,828810,829000,818000,818000,190,㉢,반올림단위;예약행있음
AC100CS6PHH1SY,AC100CXAPHH1,360 CST UV 실외기,OUTDOOR,1243215,1243025,1228000,1228000,-190,㉢,반올림단위;예약행있음
AC100CS6PHH1SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC100CS6PHH1SY,PC6NUNK1NW,판넬 (360CST / 원형 / WIFI),PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC110BS4PBH7SY,AC110BN4PBH1,무풍 4way 냉난방 프리미엄 실내기,INDOOR,628810,629000,618000,618000,190,㉢,반올림단위;예약행있음
AC110BS4PBH7SY,AC110BXAPBH3,무풍 4way 냉난방 프리미엄 실외기,OUTDOOR,943215,943025,928000,928000,-190,㉢,반올림단위;예약행있음
AC110BS4PBH7SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC110BS4PBH7SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC110BS4PHH7SY,AC110BN4PBH1,무풍 4way 냉난방 프리미엄 실내기,INDOOR,628810,629000,618000,618000,190,㉢,반올림단위;예약행있음
AC110BS4PHH7SY,AC110BXAPHH3,무풍 4way 냉난방 프리미엄 실외기,OUTDOOR,943215,943025,928000,928000,-190,㉢,반올림단위;예약행있음
AC110BS4PHH7SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC110BS4PHH7SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC110CAMDBH1SY,AC110BXADBH1,싱글 덕트 단상 실외기,OUTDOOR,1340775,1340625,1334000,1334000,-150,㉢,반올림단위;예약행있음
AC110CAMDBH1SY,AC110CNMDHH1,싱글 덕트 단상 실내기,INDOOR,893850,894000,890000,890000,150,㉢,반올림단위;예약행있음
AC110CAMDBH1SY,AWR-WE13N,유선리모컨(통합),REMOTE,45375,45375,56000,56000,0,동일,고정액-시트불일치;예약행있음
AC110CAMDHH1SY,AC110BXADHH1,싱글 덕트 삼상 실외기,OUTDOOR,1340775,1340625,1334000,1334000,-150,㉢,반올림단위;예약행있음
AC110CAMDHH1SY,AC110CNMDHH1,싱글 덕트 단상 실내기,INDOOR,893850,894000,890000,890000,150,㉢,반올림단위;예약행있음
AC110CAMDHH1SY,AWR-WE13N,유선리모컨(통합),REMOTE,45375,45375,56000,56000,0,동일,고정액-시트불일치;예약행있음
AC110CS4DBC1SY,AC110CN4DBC1,무풍 4way 냉방전용 실내기,INDOOR,647976,648000,638000,638000,24,㉢,반올림단위;예약행있음
AC110CS4DBC1SY,AC110CXADBC1,무풍 4way 냉방전용 실외기,OUTDOOR,971964,971940,958000,958000,-24,㉢,반올림단위;예약행있음
AC110CS4DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC110CS4DBC1SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC110CS4FBH2SY,AC110CN4FBH1,무풍 4way 냉난방 1등급 실내기,INDOOR,1024810,1025000,1014000,1014000,190,㉢,반올림단위;예약행있음
AC110CS4FBH2SY,AC110CXAFBH1,무풍 4way 냉난방 1등급 실외기,OUTDOOR,1537215,1537025,1522000,1522000,-190,㉢,반올림단위;예약행있음
AC110CS4FBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC110CS4FBH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC110CS4FHH2SY,AC110CN4FBH1,무풍 4way 냉난방 1등급 실내기,INDOOR,1024810,1025000,1014000,1014000,190,㉢,반올림단위;예약행있음
AC110CS4FHH2SY,AC110CXAFHH1,무풍 4way 냉난방 1등급 실외기,OUTDOOR,1537215,1537025,1522000,1522000,-190,㉢,반올림단위;예약행있음
AC110CS4FHH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC110CS4FHH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC110CS4PBH2SY,AC110CN4PBH1,무풍 4way 냉난방 프레스티지 실내기,INDOOR,804810,805000,794000,794000,190,㉢,반올림단위;예약행있음
AC110CS4PBH2SY,AC110CXAPBH1,360 CST UV 실외기,OUTDOOR,1207215,1207025,1192000,1192000,-190,㉢,반올림단위;예약행있음
AC110CS4PBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC110CS4PBH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC110CS4PHH2SY,AC110CN4PBH1,무풍 4way 냉난방 프레스티지 실내기,INDOOR,804810,805000,794000,794000,190,㉢,반올림단위;예약행있음
AC110CS4PHH2SY,AC110CXAPHH1,360 CST UV 실외기,OUTDOOR,1207215,1207025,1192000,1192000,-190,㉢,반올림단위;예약행있음
